timestamp,avg_ear,blink_detected,blink_rate,baseline_ear,baseline_blink_rate,ear_deviation,blink_rate_deviation
1767034827.350217,0.3234,0,27.0,0.2564,27.0,0.067,0.0
1767034827.4250977,0.3234,0,27.0,0.2564,27.0,0.067,0.0
1767034827.508222,0.3123,0,27.0,0.2564,27.0,0.0559,0.0
1767034827.5624495,0.1786,0,27.0,0.2564,27.0,-0.0778,0.0
1767034827.637817,0.1963,0,27.0,0.2564,27.0,-0.0601,0.0
1767034827.7110574,0.1963,0,27.0,0.2564,27.0,-0.0601,0.0
1767034827.7735066,0.2632,1,28.0,0.2564,27.0,0.0068,1.0
1767034827.8601215,0.2632,0,28.0,0.2564,27.0,0.0068,1.0
1767034827.9398823,0.298,0,28.0,0.2564,27.0,0.0416,1.0
1767034828.0189693,0.2752,0,28.0,0.2564,27.0,0.0188,1.0
1767034828.1259234,0.2239,0,28.0,0.2564,27.0,-0.0325,1.0
1767034828.225275,0.2236,0,28.0,0.2564,27.0,-0.0328,1.0
1767034828.306633,0.1993,0,28.0,0.2564,27.0,-0.0571,1.0
1767034828.3814542,0.1833,0,28.0,0.2564,27.0,-0.0731,1.0
1767034828.4758434,0.1833,0,28.0,0.2564,27.0,-0.0731,1.0
1767034828.5654128,0.1314,0,28.0,0.2564,27.0,-0.125,1.0
1767034828.6578588,0.2153,1,29.0,0.2564,27.0,-0.0411,2.0
1767034828.7464192,0.2446,0,29.0,0.2564,27.0,-0.0118,2.0
1767034828.7864466,0.2605,0,29.0,0.2564,27.0,0.0041,2.0
1767034828.8334417,0.2485,0,29.0,0.2564,27.0,-0.0079,2.0
1767034828.877945,0.2485,0,29.0,0.2564,27.0,-0.0079,2.0
1767034828.9355688,0.2485,0,29.0,0.2564,27.0,-0.0079,2.0
1767034829.0252328,0.2623,0,29.0,0.2564,27.0,0.0059,2.0
1767034829.0902772,0.2514,0,29.0,0.2564,27.0,-0.005,2.0
1767034829.165099,0.2514,0,29.0,0.2564,27.0,-0.005,2.0
1767034829.263526,0.2613,0,29.0,0.2564,27.0,0.0049,2.0
